sciname,Mouthbrooding
"""Geophagus""brasiliensis""",0
"""Geophagus""crassilabris""",1
"""Geophagus""pellegrini""",1
"""Geophagus""steindachneri""",1
Acarichthys_heckelii,0
Acaronia,0
Aequidens_chimantanus,?
Aequidens_diadema,?
Aequidens_epae,?
Aequidens_gerciliae,?
Aequidens_hoehnei,0
Aequidens_mauesanus,
Aequidens_metae,0
Aequidens_michaeli,0
Aequidens_pallidus,0
Aequidens_paloemeuensis,?
Aequidens_patricki,0
Aequidens_plagiozonatus,0
Aequidens_potaroensis,0
Aequidens_rondoni,?
Aequidens_tetramerus,0
Aequidens_tubicen,?
Aequidens_viridis,?
Andinoacara,0
Apistogramma,0
Astronotus,0
Biotodoma,0
Biotoecus,0
Bujurquina_apoparuana,1
Bujurquina_cordemadi,1
Bujurquina_eurhinus,?
Bujurquina_hophrys,?
Bujurquina_huallagae,?
Bujurquina_labiosa,?
Bujurquina_mariae,1
Bujurquina_megalospilus,?
Bujurquina_moriorum,?
Bujurquina_oenolaemus,?
Bujurquina_ortegai,?
Bujurquina_peregrinabunda,?
Bujurquina_robusta,?
Bujurquina_syspilus,1
Bujurquina_tambopatae,1
Bujurquina_vittata,1
Bujurquina_zamorensis,?
Caquetaia_,0
Chaetobranchopsis,?
Chaetobranchus,?
Cichla,0
Cichlasoma,0
Cleithracara_maronii,0
Crenicara,0
Crenicichla+Teleocichla,0
Dicrossus,0
Geophagus_abalios,1
Geophagus_altifrons,1
Geophagus_argyrostictus,0
Geophagus_brachybranchus,1
Geophagus_brokopondo,?
Geophagus_camopiensis,1
Geophagus_crocatus,?
Geophagus_dicrozoster,1
Geophagus_gottwaldi,?
Geophagus_grammepareius,?
Geophagus_harreri,?
"""Geophagus""_itapicuruensis",?
Geophagus_megasema,1
Geophagus_neambi,1
"""Geophagus""_obscurus",?
Geophagus_parnaibae,1
Geophagus_proximus,1
Geophagus_surinamensis,1
Geophagus_sveni,?
Geophagus_taeniopareius,0
Geophagus_winemilleri,1
Guianacara_cuyunii,?
Guianacara_dacrya,?
Guianacara_geayi,0
Guianacara_oelemariensis,?
Guianacara_owroewefi,?
Guianacara_sphenozona,?
Guianacara_stergiosi,?
Gymnogeophagus_australis,1
Gymnogeophagus_balzanii,1
Gymnogeophagus_caaguazuensis,?
Gymnogeophagus_che,?
Gymnogeophagus_gymnogenys,1
Gymnogeophagus_labiatus,1
Gymnogeophagus_lacustris,1
Gymnogeophagus_meridionalis,0
Gymnogeophagus_rhabdotus,0
Gymnogeophagus_setequedas,0
Gymnogeophagus_tiraparae,?
Heroina_isonycterina,0
Heros,0
Hoplarchus_psittacus,0
Hypselecara,0
Krobia,0
Laetacara,0
Mazarunia,0
Mesonauta,0
Mikrogeophagus,0
Nannacara,0
Pterophyllum,0
Retroculus,0
Satanoperca_acuticeps,0
Satanoperca_daemon,0
Satanoperca_jurupari,1
Satanoperca_leucosticta,1
Satanoperca_lilith,0
Satanoperca_mapiritensis,1
Satanoperca_pappaterra,1
Satanoperca_rhynchitis,?
Symphysodon_aequifasciatus,0
Taeniacara_candidi,0
Tahuantinsuyoa_chipi,1
Tahuantinsuyoa_macantzatza,1
Uaru,0
